pg_id,title,authors,download_count,languages,subjects,bookshelves,chosen_mime,text_url,local_path,ol_work_key,ol_title,ol_author_name,ol_first_publish_year,ol_subjects,ol_edition_count,ol_languages,ol_match_score,clean_path
1513,Romeo and Juliet,"['Shakespeare, William']",87684,['en'],"['Conflict of generations -- Drama', 'Juliet (Fictitious character) -- Drama', 'Romeo (Fictitious character) -- Drama', 'Tragedies (Drama)', 'Vendetta -- Drama', 'Verona (Italy) -- Drama', 'Youth -- Drama']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Plays/Films/Dramas', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/1513.html.images,data/texts/pg_1513_Romeo_and_Juliet.txt,/works/OL362427W,Romeo and Juliet,['William Shakespeare'],1597.0,"['Classical Literature', 'British and irish drama (dramatic works by one author)', 'Conflicto entre generaciones', 'Conflict of generations', 'courtship', 'Drama', 'Drama inglés', 'Dramatic production', 'Enemistad mortal', 'English drama (collections), early modern and elizabethan, 1500-1600', 'English literature', 'English literature, study and teaching', 'English Love stories', 'English Young adult drama', 'Families', 'Fiction', 'Juventud', 'Language and linguistics', 'Literature', 'Love-Romance-Fiction', 'Love in adolescence', 'Man-woman relationships', 'Married people', 'open_syllabus_project', 'Performing Arts', 'Plays', 'Quartos', 'Reading Level-Grade 9', 'Reading Level-Grade 10', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Shakespeare', 'Sources', 'Specimens', 'Stage history', 'Suicide', 'Suspense-Fiction', 'Teatro', 'Tragedias', 'Tragedy', 'Vendetta', 'Youth', 'Shakespeare, william, 1564-1616', 'Shakespeare, william, 1564-1616, romeo and juliet', 'Shakespeare, william, 1564-1616, criticism, textual', 'Shakespeare, william, 1564-1616, outlines, syllabi, etc.', 'Shakespeare, william, 1564-1616, dramatic production', 'Shakespeare, william, 1564-1616, stage history', 'Shakespeare, william, 1564-1616, criticism and interpretation', 'Drama, british and irish', 'Shakespeare, william, 1564-1616, adaptations', 'Critique et interprétation', 'Romeo and Juliet (Shakespeare, William)', 'Romeo (Fictitious character)', 'Juliet (Fictitious character)', 'English drama', 'Love', 'Adaptations', 'Comics & graphic novels, literary', 'Drama, collections', 'Translations', 'Tragedies', 'Man-woman relationship', 'Spanish language', 'Motion picture plays', 'Romeo and Juliet', 'Traducciones al español', '18.05 English literature', 'Examinations', 'Fiction, general', 'Vendetta -- Drama', 'Youth -- Drama', 'Verona (Italy) -- Drama', 'Juliet (Fictitious character) -- Drama', 'Romeo (Fictitious character) -- Drama', 'Conflict of generations -- Drama', 'English drama (Tragedy)', 'Translations into Spanish', 'Early modern and Elizabethan', 'Teatro inglés (Tragedia)', 'Literatura inglesa', 'Theater', 'Aufführung', 'Geschichte', 'Drama (dramatic works by one author)', 'Caricatures and cartoons', 'Cartoons and comics', 'Caricatures et dessins humoristiques', 'Translations into Tibetan', 'Translations into German', 'Literature and society', 'History', 'Shakespeare, william , 1564-1616', 'Conflict of generations--drama', 'Vendetta--drama', 'Youth--drama', 'Pr2831.a2 b38 2009', 'Romeo (fictitious character)--drama', 'Juliet (fictitious character)--drama', 'Vendetta--italy--verona--drama', 'Foreign relations', 'Bibliography', 'Criticism and interpretation', 'Juvenile drama']",975.0,"['kor', 'pol', 'hin', 'ara', 'ukr', 'ben', 'cat', 'jpn', 'srp', 'vie', 'afr', 'arm', 'heb', 'tuk', 'mul', 'nor', 'ita', 'urd', 'tur', 'fre', 'tib', 'mar', 'chi', 'ice', 'wel', 'dan', 'dut', 'hrv', 'spa', 'guj', 'sin', 'gre', 'fin', 'por', 'rus', 'eng', 'ger', 'hun']",0.8936842105263157,data/cleaned/pg_1513_Romeo_and_Juliet_clean.txt
1342,Pride and Prejudice,"['Austen, Jane']",76463,['en'],"['Courtship -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Social classes -- Fiction', 'Young women -- Fiction']","['Best Books Ever Listings', 'Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance', 'Harvard Classics']",text/html,https://www.gutenberg.org/ebooks/1342.html.images,data/texts/pg_1342_Pride_and_Prejudice.txt,/works/OL66554W,Pride and Prejudice,['Jane Austen'],1813.0,"['Fiction, Romance, Historical, Regency', 'British and Irish fiction (fictional works by one author)', 'Brothers and sisters', 'Courtship', 'Drama', 'English fiction', 'English literature', 'Families', 'Family', 'Family life', 'Family relations', 'Fiction Classics', 'History', 'Interpersonal relations', 'Literary Fiction', 'Love stories', 'manners', 'Manners and customs', 'marriage', 'Sisters', 'Social classes', 'Social life and customs', 'Upper class', 'wealth', 'Women in England', 'young ladies', 'Young women', 'entail', 'Young women, fiction', 'Sisters, fiction', 'Fiction, family life, general', 'England, fiction', 'Man-woman relationships, fiction', 'Roman anglais', 'Classes sociales', 'Romans, nouvelles', 'Sœurs', 'Amours', 'Jeunes femmes', 'Familles', 'Mœurs et coutumes""', 'Clases sociales', 'Novela', 'Jóvenes (Mujeres)', 'Cortejo amoroso', 'Hermanas', 'Cuentos de amor', 'Fiction, coming of age', 'Fiction, romance, general', 'Great britain, social life and customs, fiction', 'Readers', 'Prejudices', 'Romance fiction', 'Historical fiction', 'Classical literature', 'Domestic fiction', 'English language, textbooks for foreign speakers', 'Women, fiction', 'Adaptations', 'Gentry', 'Mate selection', 'Fiction, romance, historical, general', 'English literature (collections)', 'Coloring books', 'Fiction, family life', 'Language and languages, study and teaching', 'Emoticons', 'Drama (dramatic works by one author)', 'Feelings', 'Class', 'Englisch', 'Roman', 'Sociala klasser i litteraturen', 'Prophecies', 'Great britain', 'Reading level-grade 7', 'Reading level-grade 9', 'Reading level-grade 8', 'Reading level-grade 11', 'Reading level-grade 10', 'Reading level-grade 12', 'Large type books', 'Fiction, romance, historical', 'Austen, jane, 1775-1817', 'Literature and fiction (general)', 'English literature, history and criticism', 'England', 'Художественная литература -- Великобритания -- Английская литература -- 1-ая пол. 19 в. -- Романы', 'Novel', 'Fiction', 'Long Now Manual for Civilization', 'Elizabeth Bennet (Fictitious character)', 'Fitzwilliam Darcy (Fictitious character)', 'Pride and prejudice (Austen, Jane)', 'Mr. Collins (Fictitious character)']",4036.0,"['kor', 'hin', 'pol', 'jpn', 'srp', 'vie', 'tam', 'mul', 'ind', 'ita', 'fre', 'cze', 'chi', 'swe', 'pan', 'dut', 'spa', 'guj', 'sin', 'fin', 'por', 'rus', 'eng', 'ger', 'hun', 'cor']",0.8836363636363636,data/cleaned/pg_1342_Pride_and_Prejudice_clean.txt
2641,A Room with a View,"['Forster, E. M. (Edward Morgan)']",57628,['en'],"['British -- Italy -- Fiction', 'England -- Fiction', 'Florence (Italy) -- Fiction', 'Humorous stories', 'Young women -- Fiction']","['Category: British Literature', 'Category: Novels', 'Category: Romance', 'Italy']",text/html,https://www.gutenberg.org/ebooks/2641.html.images,data/texts/pg_2641_A_Room_with_a_View.txt,/works/OL88813W,A Room with a View,['E. M. Forster'],1905.0,"['British', 'Fiction', 'Young women', 'British in fiction', 'England in fiction', 'Travel', 'Young women in fiction', 'love', 'romance', 'Movie novels', 'Historical fiction', 'British and irish fiction (fictional works by one author)', 'Large type books', 'Young women, fiction', 'Fiction, humorous, general', 'Italy, fiction', 'Great britain, fiction', 'Fiction, romance, general', 'British Travel Association', 'England, fiction', 'Classic Literature', 'Fiction, humorous', 'Forster, e. m. (edward morgan), 1879-1970', 'Korean', 'Dictionaries', 'English language', 'Spanish', 'Chinese', 'Social life and customs', 'English Love stories', 'Classics', 'Britanniques', 'Romans, nouvelles', 'Voyages', 'Jeunes femmes', 'Fiction, psychological', 'Fiction, general']",185.0,"['eng', 'spa', 'chi', 'fre', 'ita']",0.8366666666666667,data/cleaned/pg_2641_A_Room_with_a_View_clean.txt
67979,The Blue Castle: a novel,"['Montgomery, L. M. (Lucy Maud)']",47359,['en'],"['Canada -- History -- 1914-1945 -- Fiction', 'Choice (Psychology) -- Fiction', 'Love -- Fiction', 'Romance fiction', 'Self-actualization (Psychology) -- Fiction', 'Single women -- Fiction', 'Young adult fiction']","['Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/67979.html.images,data/texts/pg_67979_The_Blue_Castle_a_novel.txt,/works/OL43111508W,The Blue Castle A Novel,['Lucy Maud Montgomery'],1926.0,,1.0,['eng'],0.8563636363636363,data/cleaned/pg_67979_The_Blue_Castle_a_novel_clean.txt
1260,Jane Eyre: An Autobiography,"['Brontë, Charlotte']",41093,['en'],"['Bildungsromans', 'Charity-schools -- Fiction', 'Country homes -- Fiction', 'England -- Fiction', 'Fathers and daughters -- Fiction', 'Governesses -- Fiction', 'Love stories', 'Married people -- Fiction', 'Mentally ill women -- Fiction', 'Orphans -- Fiction', 'Young women -- Fiction']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/1260.html.images,data/texts/pg_1260_Jane_Eyre_An_Autobiography.txt,/works/OL25964294W,Jane Eyre : an Autobiography,"['Charlotte Brontë', 'Charlotte Brontë']",2009.0,,8.0,['eng'],0.8887499999999999,data/cleaned/pg_1260_Jane_Eyre_An_Autobiography_clean.txt
161,Sense and Sensibility,"['Austen, Jane']",14167,['en'],"['Domestic fiction', 'England -- Fiction', 'England -- Social life and customs -- 19th century -- Fiction', 'Gentry -- England -- Fiction', 'Inheritance and succession -- Fiction', 'Love stories', 'Mate selection -- Fiction', 'Regency fiction', 'Sisters -- Fiction', 'Social classes -- Fiction', 'Young women -- Fiction']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Novels', 'Category: Romance']",text/plain; charset=utf-8,https://www.gutenberg.org/files/161/161-0.txt,data/texts/pg_161_Sense_and_Sensibility.txt,/works/OL66562W,Sense and Sensibility,['Jane Austen'],1811.0,"['Fiction, Romance, Historical, Regency', 'Inheritance and succession, fiction', 'Mate selection, fiction', 'Social classes, fiction', 'Family life, fiction', 'Text-books for foreigners', 'Young women,  fiction', 'Literature', 'Readers', 'Gentry', 'Sisters, fiction', 'Classic Literature', 'FICTION / Classics', 'Open Library Staff Picks', 'English language', 'open_syllabus_project', 'Manners and customs, fiction', 'Didactic fiction', 'Social life and customs, fiction', 'Humorous stories', 'Love stories', 'Love stories, English', 'England -- Fiction', 'Rich people', 'Man-woman relationships, fiction', 'Marriage, fiction', 'Classism', 'Courtship, fiction', 'History', 'Economic aspects', 'Upper class', 'General', 'British and irish fiction (fictional works by one author)', 'England, fiction', 'Austen, jane, 1775-1817', 'English literature, history and criticism, 19th century', 'Fiction, family life', 'Domestic fiction', 'Large type books', 'English Literature', 'English fiction', 'Classic', 'Chang pian xiao shuo', 'Ying guo', 'England -- Social life and customs -- 19th century -- Fiction', 'Gentry -- England -- Fiction', 'Drama (dramatic works by one author)', 'Classes sociales', 'Romans, nouvelles', 'Histoire', 'Choix du conjoint', 'Sœurs', 'Mœurs et coutumes', 'English Satire', 'Paper work', 'Fiction, women', 'Fiction, classics', 'English language, juvenile literature', 'English language, textbooks for foreign speakers', 'Families', 'Jeunes femmes', 'Romance', 'Literature and fiction (general)', 'Literature, collections', 'Austen, jane , 1775-1817', 'Inheritance and succession', 'Fiction', 'Social classes', 'Young women', 'Sisters', 'Social life and customs', 'Courtship', 'Long Now Manual for Civilization', 'Romance fiction', 'Roman']",2015.0,"['fre', 'ger', 'hun', 'kor', 'spa', 'pol', 'dut', 'chi', 'por', 'ita', 'rus', 'jpn', 'eng']",0.8836363636363636,data/cleaned/pg_161_Sense_and_Sensibility_clean.txt
996,Don Quixote,"['Cervantes Saavedra, Miguel de']",13022,['en'],"['Knights and knighthood -- Spain -- Fiction', 'Picaresque literature', 'Romances', 'Spain -- Social life and customs -- 16th century -- Fiction']","['Best Books Ever Listings', 'Category: Classics of Literature', 'Category: Novels', 'Harvard Classics']",text/html,https://www.gutenberg.org/ebooks/996.html.images,data/texts/pg_996_Don_Quixote.txt,/works/OL40380270W,Don Quixote,['Miguel de Cervantes Saavedra'],2015.0,,8.0,['eng'],0.9128571428571428,data/cleaned/pg_996_Don_Quixote_clean.txt
1251,Le Morte d'Arthur: Volume 1,"['Malory, Thomas, Sir']",12560,['en'],"['Arthur, King -- Legends', 'Arthurian romances']","['Arthurian Legends', 'Category: British Literature', 'Category: Classics of Literature', 'Category: Historical Novels', 'Category: Mythology, Legends & Folklore', 'Fantasy']",text/plain; charset=utf-8,https://www.gutenberg.org/files/1251/1251-0.txt,data/texts/pg_1251_Le_Morte_d_Arthur_Volume_1.txt,/works/OL24629895W,Le Morte D'Arthur; Volume 1,['Thomas Malory'],2017.0,,1.0,,0.86,data/cleaned/pg_1251_Le_Morte_d_Arthur_Volume_1_clean.txt
2527,The Sorrows of Young Werther,"['Goethe, Johann Wolfgang von']",9402,['en'],"['Germany -- Social life and customs -- Fiction', 'Unrequited love -- Fiction', 'Young men -- Germany -- Fiction']","[""Banned Books from Anne Haight's list"", 'Category: Classics of Literature', 'Category: German Literature', 'Category: Novels', 'Category: Romance', 'Harvard Classics', 'Opera']",text/html,https://www.gutenberg.org/ebooks/2527.html.images,data/texts/pg_2527_The_Sorrows_of_Young_Werther.txt,/works/OL23095535W,The Sorrows of Young Werther,"['Johann Wolfgang von Goethe', 'Nathen Haskell Dole', 'R. D. Boylan']",2006.0,,17.0,['eng'],0.9392307692307692,data/cleaned/pg_2527_The_Sorrows_of_Young_Werther_clean.txt
3011,The Lady of the Lake,"['Scott, Walter']",7428,['en'],"['Arthurian romances', 'Lady of the Lake (Legendary character) -- Romances']","['Category: Adventure', 'Category: British Literature', 'Category: Historical Novels', 'Category: Poetry', 'Category: Romance']",text/html,https://www.gutenberg.org/ebooks/3011.html.images,data/texts/pg_3011_The_Lady_of_the_Lake.txt,/works/OL863809W,The lady of the lake,['Sir Walter Scott'],1800.0,"['Sir Walter Scott', 'Poem', 'Writing', 'Publisher', 'American', 'H. M. Caldwell Co.', 'Book Cover', 'Victorian', 'History', 'Lady of the Lake (Legendary character)', 'Poetry', 'Shorthand', 'Graham', 'Texts', 'Marston Moor, Battle of, England, 1644', 'Songs and music', 'Harmonic analysis', 'English poetry', 'Poésie anglaise']",159.0,"['ger', 'cze', 'eng']",0.8914285714285713,data/cleaned/pg_3011_The_Lady_of_the_Lake_clean.txt
5921,"The History of Don Quixote, Volume 1, Complete","['Cervantes Saavedra, Miguel de']",6761,['en'],"['Knights and knighthood -- Spain -- Fiction', 'Picaresque literature', 'Romances', 'Spain -- Social life and customs -- 16th century -- Fiction']","['6 Best Loved Spanish Literary Classics', ""Banned Books from Anne Haight's list"", 'Best Books Ever Listings', 'Category: Classics of Literature', 'Category: Novels']",text/html,https://www.gutenberg.org/ebooks/5921.html.images,data/texts/pg_5921_The_History_of_Don_Quixote_Volume_1_Complete.txt,,,,,,,,,data/cleaned/pg_5921_The_History_of_Don_Quixote_Volume_1_Complete_clean.txt
1514,A Midsummer Night's Dream,"['Shakespeare, William']",6050,['en'],"['Athens (Greece) -- Drama', 'Comedy plays', 'Courtship -- Drama', 'Fairy plays']","['Category: British Literature', 'Category: Classics of Literature', 'Category: Humour', 'Category: Plays/Films/Dramas', 'Category: Romance', 'Category: Science-Fiction & Fantasy']",text/html,https://www.gutenberg.org/ebooks/1514.html.images,data/texts/pg_1514_A_Midsummer_Night_s_Dream.txt,/works/OL259010W,A Midsummer Night's Dream,['William Shakespeare'],1600.0,"['Drama', 'Courtship', 'Plays', 'Hippolyta (Greek mythology)', 'Theseus (Greek mythology)', 'Juvenile drama', ""Children's plays, English"", 'Stage history', 'Textual Criticism', 'Nonfiction', 'Description and travel', 'Sources', 'Juvenile literature', 'Criticism and interpretation', 'Critique et interprétation', 'Classic Literature', 'English Young adult drama', 'Amateur theater', 'English drama', 'Open Library Staff Picks', 'Fairy plays', 'Silhouettes', 'Theater', 'Quartos', 'Problems, exercises', 'Cortejo amoroso', 'German Prints', 'Comedias', 'Teatro', 'Fantasy', 'Literary Criticism', 'English drama (Comedy)', ""Midsummer night's dream (Shakespeare, William)"", 'Man-woman relationships, fiction', 'History and criticism', 'Shakespeare, William, 1564-1616', 'Courtship -- Drama', 'Athens (Greece) -- Drama', ""Children''s plays"", 'Dramatic production', 'Atenas (Grecia)', 'Hipólita (Mitología griega)', 'Teseo (Mitología griega)', 'Magic', 'Adaptations', 'Gesher (Theater company : Tel Aviv, Israel)', 'Specimens', 'Theater programs', 'Comedy', 'British and irish drama (dramatic works by one author)', ""Shakespeare, william, 1564-1616, midsummer night's dream"", 'Shakespeare, william, 1564-1616, adaptations', 'English literature, study and teaching', 'Drama (dramatic works by one author)', 'Shakespeare, william, 1564-1616, juvenile literature', 'English literature', 'British and irish fiction (fictional works by one author)', 'Drama, british and irish', 'Fiction, general', ""Children's plays"", ""Children's fiction"", 'Fairies, fiction', 'Cartoons and comics', 'Dreams, fiction', 'Shakespeare, william, 1564-1616, criticism and interpretation', 'Drama, collections', 'Comic books, strips', 'Juvenile fiction', 'Study and teaching (Secondary)', 'Literature', 'Shakespeare, william, 1564-1616, comedies', 'Theatre', ""Shakespeare, William. A midsummer night's dream"", 'Education', 'Rhaeto-Romance/Romansh literature', 'Rhaeto-Romance/Romansh drama', 'Texts translated into Rhaeto-Romance/Romansh', ""Children's literature"", 'Continental european drama (dramatic works by one author)', 'DRAMA / General', 'Relaciones hombre-mujer', 'Comedies', 'Forced removal and internment, 1942-1945', 'Shakespeare', 'Graphic novels', 'Comics & graphic novels, manga, general', 'Comics & graphic novels, literary', 'Comics & graphic novels, adaptations', 'Shakespeare, william , 1564-1616', 'Theseus', 'Hippolyta (greek mythology)--drama', 'Courtship--drama', 'Dreams in literature', 'Poetry', 'Film adaptations', 'Film and video adaptations', 'Japanese', 'Evacuation and relocation, 1942-1945', 'Fiction', 'Bibliography', 'Poetry of places', 'Voyages and travels', 'English comedy', 'Teʼaṭron ha-ʻironi Ḥefah', 'Man-woman relationships', 'Fiction, historical, general', 'Teʼaṭron ha-ʻironi Beʼer-Shevaʻ (Beersheba, Israel)', 'Translations into French', 'French drama', 'Japanese Translations', 'Translations into Japanese', 'Unrequited love', 'Porcelain', 'Exhibitions', 'Translations into Persian']",1485.0,"['kor', 'ara', 'ukr', 'cat', 'jpn', 'roh', 'afr', 'epo', 'und', 'heb', 'mul', 'ita', 'per', 'urd', 'fre', 'cze', 'enm', 'chi', 'dan', 'dut', 'hrv', 'spa', 'fin', 'por', 'rus', 'eng', 'ger']",0.8936842105263157,data/cleaned/pg_1514_A_Midsummer_Night_s_Dream_clean.txt
2610,Notre-Dame de Paris,"['Hugo, Victor']",5312,['en'],"['Clergy -- Fiction', 'France -- History -- Louis XI, 1461-1483 -- Fiction', 'Historical fiction', 'Notre-Dame de Paris (Cathedral) -- Fiction', 'Paris (France) -- History -- To 1515 -- Fiction', 'People with disabilities -- Fiction', 'Romances']","[""Banned Books from Anne Haight's list"", 'Category: Classics of Literature', 'Category: French Literature', 'Category: Historical Novels', 'Category: Novels', 'Harvard Classics', 'Movie Books']",text/html,https://www.gutenberg.org/ebooks/2610.html.images,data/texts/pg_2610_Notre-Dame_de_Paris.txt,/works/OL40510660W,Notre-Dame de Paris,['Victor Hugo'],2012.0,,39.0,"['fre', 'eng']",0.8836363636363636,data/cleaned/pg_2610_Notre-Dame_de_Paris_clean.txt
