year,title,artist,sentiment
2005,We Belong Together,Mariah Carey,0.00959467120181406
2005,Hollaback Girl,Gwen Stefani,-0.1565738244983529
2005,Let Me Love You,Mario,0.42908163265306115
2005,Since U Been Gone,Kelly Clarkson,0.15714285714285717
2005,"1, 2 Step",Ciara,0.23129960317460319
2005,Gold Digger,Kanye West,-0.025399991556906462
2005,Boulevard of Broken Dreams,Green Day,-0.10772005772005774
2005,Candy Shop,50 Cent,0.19655067155067157
2005,Don't Cha,The Pussycat Dolls,0.1364909781576448
2005,Behind These Hazel Eyes,Kelly Clarkson,-0.16473922902494328
2006,Bad Day,Daniel Powter,-0.15906846240179573
2006,Temperature,Sean Paul,0.11524758454106276
2006,Promiscuous,Nelly Furtado,-0.0739294942783315
2006,You're Beautiful,James Blunt,0.6082993197278911
2006,Hips Don't Lie,Shakira,0.019198243321718926
2006,Unwritten,Natasha Bedingfield,-0.04943181818181819
2006,Crazy,Gnarls Barkley,-0.21798245614035086
2006,Ridin',Chamillionaire,-0.33405445827320857
2006,SexyBack,Justin Timberlake,0.28641456582633046
2006,Check on It,Beyoncé,0.22296296296296295
2007,Irreplaceable,Beyoncé,0.02109375
2007,Umbrella,Rihanna,0.1745138888888889
2007,The Sweet Escape,Gwen Stefani,0.17431657848324505
2007,Big Girls Don't Cry,Fergie,0.07445652173913044
2007,Buy U a Drank (Shawty Snappin'),T-Pain,0.06948051948051948
2007,Before He Cheats,Carrie Underwood,0.026211001642036123
2007,Hey There Delilah,Plain White T's,0.2829957740672026
2007,I Wanna Love You,Akon,0.2795089285714286
2007,Say It Right,Nelly Furtado,-0.03383928571428571
2007,Glamorous,Fergie,0.07105769230769231
2008,Low,Flo Rida,0.05130718954248367
2008,Bleeding Love,Leona Lewis,0.2275462962962963
2008,No One,Alicia Keys,0.20978835978835977
2008,Lollipop,Lil Wayne,0.21971951659451658
2008,Apologize,Timbaland,-0.1887676767676767
2008,No Air,Jordin Sparks,-0.0014528400892037335
2008,Love Song,Sara Bareilles,0.20505892255892255
2008,Love in This Club,Usher,0.25006105006105006
2008,With You,Chris Brown,0.20775862068965517
2008,Forever,Chris Brown,0.18667254556143448
2009,Boom Boom Pow,The Black Eyed Peas,-0.24166666666666664
2009,Poker Face,Lady Gaga,0.2629901960784314
2009,Just Dance,Lady Gaga,0.07222458427815567
2009,Love Story,Taylor Swift,0.049999999999999996
2009,Right Round,Flo Rida,0.01821885096221376
2009,Single Ladies (Put a Ring on It),Beyoncé,-0.10895061728395061
2009,Heartless,Kanye West,-0.12082792207792208
2009,Gives You Hell,The All-American Rejects,-0.04999999999999999
2009,You Belong with Me,Taylor Swift,0.21598765432098765
2010,Tik Tok,Kesha,-0.10173611111111115
2010,Need You Now,Lady A,-0.18611111111111112
2010,"Hey, Soul Sister",Train,0.17103174603174598
2010,California Gurls,Katy Perry,0.3127771618625277
2010,OMG,Usher,0.3507198228128461
2010,Airplanes,B.o.B,0.16034985422740525
2010,Love the Way You Lie,Eminem,0.11674973544973545
2010,Bad Romance,Lady Gaga,-0.1307563025210083
2010,Dynamite,Taio Cruz,0.23531468531468527
2010,Break Your Heart,Taio Cruz,-0.10128205128205127
2011,Rolling in the Deep,Adele,0.07861952861952862
2011,Party Rock Anthem,LMFAO,0.2968253968253969
2011,Firework,Katy Perry,0.23382352941176468
2011,E.T.,Katy Perry,0.04296875
2011,Give Me Everything,Pitbull,0.22252189098780004
2011,Grenade,Bruno Mars,0.03241582491582492
2011,Super Bass,Nicki Minaj,-0.020606939356939365
2011,Moves like Jagger,Maroon 5,0.04327380952380951
2011,On the Floor,Jennifer Lopez,0.018348211617442378
2012,Somebody That I Used to Know,Gotye,0.22242424242424239
2012,Call Me Maybe,Carly Rae Jepsen,-0.30799319727891156
2012,We Are Young,Fun.,0.015640782828282823
2012,Payphone,Maroon 5,-0.040132005183025586
2012,Lights,Ellie Goulding,0.25583333333333325
2012,Glad You Came,The Wanted,0.21211111111111108
2012,Stronger (What Doesn't Kill You),Kelly Clarkson,-0.08000746097337007
2012,We Found Love,Rihanna,0.41200000000000003
2012,Starships,Nicki Minaj,0.30597222222222226
2012,What Makes You Beautiful,One Direction,0.31461640211640207
2013,Thrift Shop,Macklemore & Ryan Lewis,0.13222028648857914
2013,Blurred Lines,Robin Thicke,-0.05785147392290249
2013,Radioactive,Imagine Dragons,0.28161838161838165
2013,Harlem Shake,Baauer,0.0
2013,Can't Hold Us,Macklemore & Ryan Lewis,5.551115123125783e-17
2013,Mirrors,Justin Timberlake,0.2683035714285714
2013,Just Give Me a Reason,Pink,0.18989177489177483
2013,When I Was Your Man,Bruno Mars,0.022474747474747474
2013,Cruise,Florida Georgia Line,0.07340285976649613
2013,Roar,Katy Perry,0.053769841269841266
2014,Happy,Pharrell Williams,0.5814194139194134
2014,Dark Horse,Katy Perry,0.29408212560386465
2014,All of Me,John Legend,0.2932539682539682
2014,Fancy,Iggy Azalea,0.07056517556517558
2014,Counting Stars,OneRepublic,-0.09808531746031746
2014,Talk Dirty,Jason Derulo,-0.1914421997755331
2014,Rude,Magic!,-0.18841540404040402
2014,All About That Bass,Meghan Trainor,-0.03169642857142856
2014,Problem,Ariana Grande,-0.052872670807453385
2014,Stay with Me,Sam Smith,0.15962962962962965
2015,Uptown Funk,Mark Ronson,0.2289272030651341
2015,Thinking Out Loud,Ed Sheeran,0.27392113095238096
2015,See You Again,Wiz Khalifa,0.13951465201465202
2015,Trap Queen,Fetty Wap,0.23285714285714285
2015,Sugar,Maroon 5,0.0414133089133089
2015,Shut Up and Dance,Walk the Moon,0.014705882352941176
2015,Blank Space,Taylor Swift,-0.04375420875420874
2015,Watch Me (Whip/Nae Nae),Silentó,0.3857142857142857
2015,Earned It,The Weeknd,0.27231404958677685
2015,The Hills,The Weeknd,-0.030407523510971778
2016,Love Yourself,Justin Bieber,0.15148148148148147
2016,Sorry,Justin Bieber,-0.2625624632569077
2016,One Dance,Drake,0.10976034858387802
2016,Work,Rihanna,0.009953703703703704
2016,Stressed Out,Twenty One Pilots,0.19316257816257812
2016,Panda,Desiigner,-0.10875790875790876
2016,Hello,Adele,-0.14109195402298852
2016,Don't Let Me Down,The Chainsmokers,-0.04945533769063184
2016,Can't Stop the Feeling!,Justin Timberlake,0.5252777777777778
2016,Cheap Thrills,Sia,0.28279069767441867
2017,Shape of You,Ed Sheeran,0.31235177865612657
2017,Despacito,Luis Fonsi,0.3662109375
2017,That's What I Like,Bruno Mars,0.3384057971014492
2017,Humble.,Kendrick Lamar,-0.10525518925518937
2017,Something Just Like This,The Chainsmokers,0.21428571428571427
2017,Bad and Boujee,Migos,-0.28734245912817336
2017,Closer,The Chainsmokers,0.18401360544217696
2017,Body Like a Back Road,Sam Hunt,0.007407407407407401
2017,Believer,Imagine Dragons,0.043608706108706104
2017,Congratulations,Post Malone,-0.025753968253968258
2018,God's Plan,Drake,-0.12413793103448272
2018,Perfect,Ed Sheeran,0.43685064935064927
2018,Meant to Be,Bebe Rexha,0.15710565476190474
2018,Havana,Camila Cabello,0.040860215053763436
2018,Rockstar,Post Malone,0.06691176470588237
2018,Psycho,Post Malone,-0.05153846153846149
2018,I Like It,Cardi B,0.009006523363518003
2018,The Middle,Zedd,-0.0066468253968253975
2018,In My Feelings,Drake,0.06132831289081292
2018,Girls Like You,Maroon 5,0.11625615763546795
2019,Old Town Road,Lil Nas X,-0.08484848484848485
2019,Sunflower,Post Malone,0.009617180205415514
2019,Without Me,Halsey,0.08375180375180373
2019,Bad Guy,Billie Eilish,-0.35054684475416176
2019,Wow.,Post Malone,0.07402146464646465
2019,Happier,Marshmello,0.02795031055900621
2019,7 Rings,Ariana Grande,0.02078168044077135
2019,Talk,Khalid,0.16071428571428573
2019,Sicko Mode,Travis Scott,0.09846183870774038
2019,Sucker,Jonas Brothers,-0.07894736842105261
2020,Blinding Lights,The Weeknd,0.03214285714285713
2020,Circles,Post Malone,0.027594627594627615
2020,The Box,Roddy Ricch,-0.024162257495590842
2020,Don't Start Now,Dua Lipa,0.04772727272727272
2020,Rockstar,DaBaby,0.09724517906336089
2020,Adore You,Harry Styles,0.029166666666666664
2020,Life Is Good,Future,0.01324416324416324
2020,Memories,Maroon 5,0.006521739130434782
2020,The Bones,Maren Morris,0.3128968253968254
2020,Someone You Loved,Lewis Capaldi,0.2518518518518518
2021,Levitating,Dua Lipa,0.6394230769230769
2021,Save Your Tears,The Weeknd,0.13785714285714284
2021,Blinding Lights,The Weeknd,0.03214285714285713
2021,Mood,24kGoldn,0.14567099567099567
2021,good 4 u,Olivia Rodrigo,0.3888998682476943
2021,Kiss Me More,Doja Cat,0.1711711711711712
2021,Leave the Door Open,Silk Sonic,0.21115520282186945
2021,drivers license,Olivia Rodrigo,0.09847222222222222
2021,Montero (Call Me by Your Name),Lil Nas X,-0.015097402597402595
2021,Peaches,Justin Bieber,0.12299651567944249
2022,Heat Waves,Glass Animals,-0.004058441558441561
2022,As It Was,Harry Styles,0.05384615384615384
2022,Stay,The Kid Laroi,0.03174025974025973
2022,Easy on Me,Adele,0.3221861471861472
2022,Shivers,Ed Sheeran,0.2174206349206349
2022,First Class,Jack Harlow,0.25725806451612904
2022,About Damn Time,Lizzo,0.261780753968254
2022,Bad Habit,Steve Lacy,-0.07833333333333332
2022,Cold Heart (Pnau remix),Elton John,-0.14027777777777778
2022,Wait for U,Future,0.042857142857142864
2023,Last Night,Morgan Wallen,0.05467436974789916
2023,Flowers,Miley Cyrus,0.4957142857142857
2023,Kill Bill,SZA,0.20410839160839161
2023,Anti-Hero,Taylor Swift,0.0393939393939394
2023,Creepin,Metro Boomin,0.21796875
2023,Calm Down,Rema,0.16317204301075267
2023,Die for You,The Weeknd,0.12299498746867166
2023,Fast Car,Luke Combs,0.18144886363636367
2023,Snooze,SZA,0.14413265306122441
2023,I'm Good (Blue),David Guetta,0.4637860082304525
2004,Yeah!,Usher,0.11618055555555555
2004,Burn,Usher,0.06039789789789791
2004,If I Ain't Got You,Alicia Keys,0.11306818181818179
2004,This Love,Maroon 5,0.33340579710144924
2004,The Way You Move,OutKast,0.31124686716791977
2004,The Reason,Hoobastank,-0.05681818181818182
2004,I Don't Wanna Know,Mario Winans,0.2446428571428571
2004,Hey Ya!,OutKast,0.23118580765639582
2004,Goodies,Ciara,-0.06203204552261152
2004,Lean Back,Terror Squad,0.03215350223546945
